Team,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
BOS,1,10/26/16,,BRK,W,122,117,118.4,113.6,103,0.202,0.36,0.629,51.6,75,12.6,17,,0.601,16.4,29.3,0.169,,0.521,13.1,70,0.165
BOS,2,10/27/16,@,CHI,L,99,105,105.1,111.5,94.2,0.316,0.303,0.572,39.6,57.9,6.4,9,,0.553,11.3,7.5,0.197,,0.451,10.2,64.7,0.239
BOS,3,10/29/16,@,CHO,W,104,98,110,103.6,94.6,0.21,0.383,0.588,52.5,64.1,4.2,12.8,,0.574,12.8,11.1,0.136,,0.462,7.9,86.4,0.316
BOS,4,11/2/16,,CHI,W,107,100,112.5,105.1,95.1,0.195,0.368,0.566,44.3,68.3,10.5,6.6,,0.552,11.3,22.7,0.126,,0.475,16.7,65.9,0.284
BOS,5,11/3/16,@,CLE,L,122,128,122.8,128.8,99.4,0.229,0.333,0.577,48.1,54.3,4,12,,0.536,7,22.2,0.198,,0.571,7.4,80.6,0.381
BOS,6,11/6/16,,DEN,L,107,123,106.7,122.6,100.3,0.233,0.278,0.539,45.3,75.6,3,6.6,,0.5,10,22.4,0.189,,0.589,14.8,75.7,0.286
BOS,7,11/9/16,@,WAS,L,93,118,102.3,129.8,90.9,0.272,0.383,0.513,36.5,60,5.5,5.6,,0.494,10.8,16.7,0.16,,0.554,9.8,55.8,0.174
BOS,8,11/11/16,,NYK,W,115,87,113.4,85.8,101.4,0.478,0.3,0.528,48.2,65.7,15.8,4.2,,0.45,12.1,34.5,0.378,,0.383,19.8,61.8,0.16
BOS,9,11/12/16,@,IND,W,105,99,112.7,106.3,93.1,0.413,0.313,0.555,54,62.9,7.5,11.9,,0.488,12.1,34.1,0.338,,0.453,11.7,74.4,0.244
BOS,10,11/14/16,@,NOP,L,105,106,105.3,106.3,99.8,0.211,0.432,0.506,48.9,50,9,0,,0.463,8.8,22.4,0.179,,0.481,14.4,80.5,0.38
BOS,11,11/16/16,,DAL,W,90,83,100.3,92.5,89.7,0.303,0.276,0.523,62.4,54.5,6.7,5,,0.48,18.1,32.5,0.224,,0.458,9.3,88.9,0.084
BOS,12,11/18/16,,GSW,L,88,104,91.9,108.6,95.7,0.229,0.386,0.482,46.2,61.3,6.3,4.8,,0.44,12.5,14.6,0.181,,0.539,10.4,80,0.078
BOS,13,11/19/16,@,DET,W,94,92,109.1,106.8,86.2,0.207,0.378,0.525,47.9,66.7,3.5,10.6,,0.476,8.2,18.8,0.195,,0.471,5.1,77.1,0.128
BOS,14,11/21/16,@,MIN,W,99,93,105.9,99.5,93.5,0.167,0.452,0.549,43.3,52.6,5.3,6.5,,0.524,10.9,14.6,0.131,,0.442,13.4,67.3,0.198
BOS,15,11/23/16,@,BRK,W,111,92,109.1,90.5,101.7,0.082,0.388,0.547,53.1,57.8,12.8,10.9,,0.536,11.4,25,0.061,,0.453,16.6,81.3,0.163
BOS,16,11/25/16,,SAS,L,103,109,110.4,116.9,93.3,0.099,0.374,0.542,44.4,76.2,8.6,7,,0.527,9.5,20,0.077,,0.537,14.8,68.3,0.272
BOS,17,11/28/16,@,MIA,W,112,104,115.7,107.4,96.8,0.313,0.325,0.593,49.4,65,4.1,6,,0.548,8.7,15,0.253,,0.513,12.1,82.9,0.275
BOS,18,11/30/16,,DET,L,114,121,122.9,130.5,92.8,0.22,0.462,0.571,38.8,65,6.5,4.5,,0.522,4.8,18.8,0.209,,0.603,10.3,64.9,0.184
BOS,19,12/2/16,,SAC,W,97,92,102.6,97.3,94.5,0.17,0.318,0.513,46.9,69.4,10.6,14.5,,0.472,12.1,22.9,0.159,,0.409,12.4,70.8,0.227
BOS,20,12/3/16,@,PHI,W,107,106,116.8,115.7,91.6,0.382,0.342,0.603,49.3,57.9,5.5,7,,0.553,10.1,16.7,0.303,,0.559,14.6,79.5,0.276
BOS,21,12/5/16,@,HOU,L,106,107,106.7,107.7,99.3,0.121,0.323,0.508,47.7,64.3,7,10.5,,0.48,9.5,20.4,0.111,,0.526,15.1,82.1,0.355
BOS,22,12/7/16,@,ORL,W,117,87,125.4,93.2,93.3,0.345,0.31,0.605,57,67.4,7.5,7.3,,0.554,9.4,27.5,0.286,,0.438,11.6,82.6,0.198
BOS,23,12/9/16,,TOR,L,94,101,98.6,105.9,95.4,0.265,0.506,0.507,47.9,77.4,5.2,6.5,,0.476,12.3,16,0.181,,0.47,10.5,82.6,0.293
BOS,24,12/11/16,@,OKC,L,96,99,105.3,108.6,91.2,0.089,0.356,0.513,44.9,70,9.9,6.5,,0.506,12.2,26.1,0.056,,0.512,11.2,65.1,0.169
BOS,25,12/14/16,@,SAS,L,101,108,106.4,113.8,94.9,0.238,0.369,0.544,47.9,67.6,12.6,5.2,,0.5,11.5,19.5,0.202,,0.6,15.7,84.4,0.15
BOS,26,12/16/16,,CHO,W,96,88,99.5,91.3,96.4,0.333,0.359,0.537,46.5,76.5,7.3,11.9,,0.494,12.7,11.9,0.244,,0.371,10.2,71.9,0.165
BOS,27,12/18/16,@,MIA,W,105,95,109.7,99.2,95.7,0.211,0.311,0.534,47.4,51.2,13.6,4.4,,0.506,10.1,23.9,0.156,,0.587,22.3,81.3,0.203
BOS,28,12/20/16,@,MEM,W,112,109,115.1,112,88.2,0.469,0.457,0.573,44.1,66.7,7.2,7.8,,0.481,10.1,18.6,0.42,,0.468,11,66,0.223
BOS,29,12/22/16,@,IND,W,109,102,105.9,99.1,102.9,0.293,0.424,0.525,46.8,50,9.7,3.4,,0.467,8.8,17.6,0.25,,0.47,16.7,81.4,0.305
BOS,30,12/23/16,,OKC,L,112,117,112.3,117.3,99.7,0.28,0.301,0.536,47,70.7,8,3.7,,0.489,10.3,22.7,0.226,,0.581,11.9,74.4,0.3
BOS,31,12/25/16,@,NYK,W,119,114,126.7,121.4,93.9,0.215,0.387,0.584,44.3,55.6,10.7,4.7,,0.559,4.7,27.3,0.161,,0.517,14.7,61.4,0.276
BOS,32,12/27/16,,MEM,W,113,103,120.1,109.4,94.1,0.247,0.365,0.6,56,73.2,6.4,12.1,,0.553,15.3,36.8,0.224,,0.472,9.8,71.7,0.227
BOS,33,12/29/16,@,CLE,L,118,124,120.3,126.4,98.1,0.247,0.435,0.626,38.7,60.5,15.3,8.9,,0.576,10.5,15.4,0.235,,0.602,15.6,63.9,0.289
BOS,34,12/30/16,,MIA,W,117,114,125,121.8,93.6,0.392,0.432,0.674,43.5,73.7,6.4,3.2,,0.628,13,14.3,0.324,,0.594,11.3,73.5,0.078
BOS,35,1/3/17,,UTA,W,115,104,128.4,116.1,89.6,0.23,0.419,0.706,47.8,75.6,5.6,10.7,,0.669,13.8,12.9,0.216,,0.53,9.9,77.8,0.207
BOS,36,1/6/17,,PHI,W,110,106,110.3,106.3,99.7,0.287,0.46,0.561,50.6,80,6,21.6,,0.511,14.8,24.5,0.241,,0.525,14.2,88.2,0.291
BOS,37,1/7/17,,NOP,W,117,108,124.3,114.7,94.2,0.226,0.387,0.572,52.8,65,6.4,9.3,,0.527,8.9,31.3,0.204,,0.529,10.4,78,0.212
BOS,38,1/10/17,@,TOR,L,106,114,108.5,116.7,97.7,0.235,0.318,0.565,39.8,52.5,7.2,4.6,,0.524,13,15.4,0.2,,0.529,14.7,61.4,0.253
BOS,39,1/11/17,,WAS,W,117,108,122.5,113.1,95.5,0.212,0.482,0.63,50.6,46.5,5.2,8.9,,0.606,13.1,26.3,0.165,,0.476,6,68.6,0.076
BOS,40,1/13/17,@,ATL,W,103,101,113,110.8,91.1,0.229,0.53,0.564,50,61.1,7.7,5.6,,0.536,11.6,22.5,0.169,,0.494,11.4,73.9,0.214
BOS,41,1/16/17,,CHO,W,108,98,117.6,106.7,91.8,0.119,0.464,0.611,51.2,69,6.5,4.9,,0.589,12,20,0.107,,0.488,10.5,78.3,0.163
BOS,42,1/18/17,,NYK,L,106,117,114,125.9,93,0.319,0.363,0.511,36.7,71.4,8.6,12.1,,0.434,2.8,18.8,0.297,,0.56,12.4,57.1,0.165
BOS,43,1/21/17,,POR,L,123,127,113.5,117.2,98.1,0.337,0.38,0.582,56,61.9,5.5,3,,0.527,16.6,33.3,0.283,,0.522,11.5,78.6,0.337
BOS,44,1/24/17,@,WAS,L,108,123,110.6,126,97.6,0.286,0.393,0.571,42.7,63.2,10.2,4.7,,0.512,12.1,18.6,0.262,,0.625,13.9,75,0.214
BOS,45,1/25/17,,HOU,W,120,109,118.4,107.6,101.3,0.176,0.352,0.612,61.5,70.2,9.9,6.5,,0.577,15.5,33.3,0.165,,0.532,15.4,85.7,0.351
BOS,46,1/27/17,,ORL,W,128,98,131.5,100.7,97.4,0.169,0.382,0.669,55.3,78,8.2,8.1,,0.652,9.5,18.4,0.135,,0.489,10.4,85.1,0.149
BOS,47,1/28/17,@,MIL,W,112,108,108.1,104.2,93.8,0.337,0.461,0.548,48.4,70.3,5.8,10.6,,0.494,11.3,19.1,0.27,,0.477,12.9,79.5,0.287
BOS,48,1/30/17,,DET,W,113,109,113.4,109.3,99.7,0.402,0.39,0.585,46.3,63.9,6,7.1,,0.518,8.5,13.3,0.341,,0.459,6,76,0.206
BOS,49,2/1/17,,TOR,W,109,104,116.3,111,93.7,0.345,0.414,0.544,48.8,66.7,6.4,4.3,,0.483,8.2,26.7,0.287,,0.577,14.4,77.1,0.179
BOS,50,2/3/17,,LAL,W,113,107,112.1,106.1,100.8,0.341,0.427,0.599,47.5,71.8,7.9,1.8,,0.555,14.5,15.9,0.268,,0.468,10.2,72.7,0.202
