Team,Pace,2PAr,3PAr,FTAr,OREB%,TOV%,AST%,Paint Touches/100,%Pts Midrange,Transition freq,Iso freq,PNR freq,Post-up freq,Spot-up freq,Cut freq,Drives/100,Passes/100,AST Pts created,avg secs/touch,distance traveled
Atlanta Hawks,99.83,0.691,0.309,0.295,0.236,0.157,0.621,16.23,0.152,0.129,0.06,0.177,0.062,0.196,0.077,30.45,308.62,56.3,2.61,9.04
Boston Celtics,99.32,0.607,0.393,0.273,0.212,0.133,0.653,13.59,0.106,0.13,0.055,0.146,0.065,0.223,0.075,27.59,325.82,61.6,2.56,8.89
Brooklyn Nets,103.58,0.633,0.367,0.289,0.196,0.159,0.566,11.3,0.079,0.151,0.067,0.162,0.074,0.237,0.063,33.89,299.29,53.2,2.55,9.23
Charlotte Hornets,97.85,0.664,0.336,0.279,0.199,0.117,0.611,12.47,0.147,0.097,0.041,0.229,0.047,0.214,0.082,26.57,308.02,55.8,2.78,9.52
Chicago Bulls,97.72,0.743,0.257,0.259,0.27,0.138,0.584,14.33,0.183,0.128,0.068,0.189,0.077,0.203,0.066,29.16,315.9,52.5,2.71,9.16
Cleveland Cavaliers,98.38,0.601,0.399,0.275,0.219,0.137,0.567,12.2,0.13,0.163,0.119,0.156,0.067,0.197,0.059,27.24,284.2,57.4,2.9,8.67
Dallas Mavericks,94.16,0.633,0.367,0.225,0.181,0.126,0.574,9.45,0.186,0.088,0.105,0.165,0.071,0.223,0.057,27.08,313.93,51,2.95,9.25
Denver Nuggets,100.7,0.67,0.33,0.276,0.273,0.147,0.615,15.29,0.101,0.143,0.064,0.144,0.078,0.198,0.092,29.79,290.27,60.2,2.74,9.09
Detroit Pistons,97.09,0.737,0.263,0.218,0.241,0.121,0.53,13.9,0.209,0.142,0.068,0.208,0.086,0.175,0.056,25.03,301.78,49.9,2.79,9.22
Golden State Warriors,102.24,0.646,0.354,0.259,0.228,0.144,0.705,18.88,0.134,0.185,0.057,0.109,0.051,0.164,0.123,18.88,309.08,72.1,2.43,8.97
Houston Rockets,102.54,0.537,0.463,0.304,0.246,0.147,0.626,14.43,0.044,0.18,0.094,0.182,0.021,0.202,0.074,29.94,264.58,62.4,2.78,8.54
Indiana Pacers,98.15,0.728,0.272,0.261,0.212,0.139,0.572,14.57,0.184,0.139,0.081,0.173,0.072,0.16,0.078,26.9,292.51,53.4,2.86,8.8
Los Angeles Clippers,98.22,0.67,0.33,0.312,0.215,0.131,0.57,11.81,0.171,0.124,0.106,0.178,0.059,0.186,0.055,23.42,304.93,54.1,2.79,8.67
Los Angeles Lakers,100.8,0.705,0.295,0.259,0.25,0.15,0.532,13.79,0.125,0.147,0.083,0.209,0.056,0.148,0.076,26.29,289.19,49.8,2.75,9.26
Memphis Grizzlies,94.74,0.684,0.316,0.28,0.248,0.135,0.584,13.93,0.135,0.106,0.074,0.136,0.116,0.197,0.072,23.64,317.82,51.5,2.87,8.97
Miami Heat,97.59,0.685,0.315,0.251,0.242,0.137,0.544,13.12,0.128,0.13,0.069,0.189,0.051,0.217,0.072,35.97,297.47,51.9,2.91,9.33
Milwaukee Bucks,96.73,0.709,0.291,0.274,0.215,0.144,0.624,17.06,0.11,0.149,0.072,0.134,0.081,0.213,0.098,30.39,300.63,57.8,2.77,8.73
Minnesota Timberwolves,97.11,0.751,0.249,0.287,0.272,0.144,0.6,15.24,0.176,0.136,0.066,0.166,0.101,0.201,0.068,25.74,295.95,55.2,2.92,9
New Orleans Pelicans,100.09,0.691,0.309,0.256,0.185,0.127,0.582,10.99,0.148,0.149,0.074,0.175,0.062,0.214,0.063,27.68,296.83,54.2,2.66,8.96
New York Knicks,98.63,0.721,0.279,0.239,0.266,0.139,0.551,12.98,0.207,0.129,0.097,0.155,0.067,0.202,0.078,22.1,327.99,51.9,2.6,9.22
Oklahoma City Thunder,100.47,0.704,0.296,0.295,0.279,0.148,0.532,15.93,0.114,0.163,0.077,0.17,0.101,0.164,0.075,22.99,257.99,49.6,2.93,8.85
Orlando Magic,99.11,0.7,0.3,0.246,0.216,0.133,0.58,13.52,0.171,0.153,0.051,0.157,0.073,0.187,0.067,27.55,301.08,52.9,2.73,8.95
Philadelphia 76ers,100.96,0.65,0.35,0.258,0.224,0.164,0.631,14.56,0.105,0.152,0.064,0.123,0.071,0.23,0.079,32.98,349.94,57.8,2.42,9.89
Phoenix Suns,102.88,0.745,0.255,0.297,0.26,0.149,0.491,12.15,0.161,0.172,0.071,0.226,0.046,0.155,0.069,27.8,291.02,46.6,2.6,8.99
Portland Trailblazers,99.88,0.677,0.323,0.275,0.23,0.137,0.534,12.31,0.148,0.115,0.08,0.204,0.043,0.184,0.081,28.13,282.14,51.5,3,9.57
Sacramento Kings,97.06,0.709,0.291,0.284,0.21,0.149,0.594,15.56,0.143,0.133,0.078,0.135,0.083,0.212,0.086,25.86,323.2,53.7,2.71,9.09
San Antonio Spurs,96.41,0.719,0.281,0.263,0.24,0.139,0.606,12.97,0.196,0.12,0.059,0.159,0.093,0.227,0.067,26.35,327.56,57.1,2.69,9.6
