Team,Pace,2PAr,3PAr,FTAr,OREB%,TOV%,AST%,Paint Touches/100,%Pts Midrange,Transition freq,Iso freq,PNR freq,Post-up freq,Spot-up freq,Cut freq,Drives/100,Passes/100,AST Pts created,avg secs/touch,distance traveled
Atlanta Hawks,66,48,48,86,52,7,83,93,59,28,17,59,38,38,66,83,66,69,21,48
Boston Celtics,59,7,93,45,17,79,97,48,14,34,7,21,45,86,55,55,86,93,10,24
Brooklyn Nets,100,10,86,79,7,4,31,10,3,72,34,38,69,100,17,93,45,45,7,72
Charlotte Hornets,38,24,76,62,10,100,76,28,48,7,0,97,10,72,83,38,62,66,52,90
Chicago Bulls,34,93,7,28,90,59,59,62,83,24,38,72,72,62,24,69,76,38,31,62
Cleveland Cavaliers,48,3,97,52,34,69,34,21,34,86,100,28,48,41,14,48,17,79,76,7
Dallas Mavericks,3,10,86,3,0,93,45,0,90,0,93,41,55,86,10,45,72,21,93,76
Denver Nuggets,79,28,69,59,97,28,79,79,7,59,21,17,76,48,93,72,24,90,41,55
Detroit Pistons,21,90,10,0,59,97,7,55,100,55,38,86,86,21,7,17,55,17,62,66
Golden State Warriors,90,17,83,28,41,41,100,100,38,100,10,0,17,10,100,0,69,100,3,34
Houston Rockets,93,0,100,97,69,28,90,66,0,97,86,69,0,55,48,76,3,97,52,0
Indiana Pacers,41,86,14,38,17,55,41,72,86,52,76,52,62,7,69,41,31,48,69,17
Los Angeles Clippers,45,28,69,100,24,83,38,14,69,21,97,62,34,28,3,10,59,55,62,7
Los Angeles Lakers,83,62,38,28,76,10,10,52,28,62,79,90,28,0,62,28,21,14,45,79
Memphis Grizzlies,7,41,59,66,72,73,59,59,41,10,55,14,100,41,41,14,79,24,72,34
Miami Heat,31,45,55,14,66,69,21,41,31,34,45,72,17,79,41,100,41,31,79,86
Milwaukee Bucks,14,66,31,48,24,41,86,97,17,66,52,7,79,69,97,79,48,83,48,14
Minnesota Timberwolves,24,100,0,72,93,41,69,76,76,48,28,45,93,52,34,21,34,62,83,45
New Orleans Pelicans,72,48,48,21,3,90,55,3,52,66,55,55,38,72,17,59,38,59,24,31
New York Knicks,52,83,17,7,86,55,28,38,97,28,90,24,48,55,69,3,93,31,14,66
Oklahoma City Thunder,76,59,41,86,100,21,10,86,21,86,62,48,93,10,55,7,0,10,86,21
Orlando Magic,55,55,45,10,31,79,52,45,69,79,3,31,66,31,28,52,52,41,38,28
Philadelphia 76ers,86,21,79,24,38,0,93,69,10,76,21,3,55,97,76,90,100,83,0,100
Phoenix Suns,97,97,3,93,83,17,3,17,66,93,48,93,7,3,38,62,28,3,14,41
Portland Trailblazers,69,38,62,52,45,69,17,24,52,14,72,79,3,24,79,66,14,24,97,93
Sacramento Kings,17,66,31,69,14,17,66,83,45,41,66,10,83,66,86,24,83,52,31,55
San Antonio Spurs,10,79,21,41,55,55,72,34,93,17,14,34,90,93,28,31,90,76,28,97
Toronto Raptors,24,72,28,83,76,86,0,7,62,45,83,100,31,34,0,97,10,0,100,52
Utah Jazz,0,34,66,76,48,31,21,90,24,3,28,83,14,83,90,86,97,7,52,83
Washington Wizards,62,76,24,17,59,45,48,31,76,83,69,66,24,17,48,34,7,72,86,3
CatP Avg,73,25,74,58,43,29,82,70,19,67,31,27,47,63,69,69,55,83,23,43
CatY Avg,37,34,65,51,34,77,34,25,51,31,64,69,28,58,37,61,46,38,71,58
CatG Avg,45,76,24,43,64,48,40,55,68,52,51,51,66,35,45,31,50,38,51,47
